# filename	format	extract	password	sha256	notes
basic.zip	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture created by ZManager
basic.zipx	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .zipx extension
basic.jar	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .jar extension
basic.war	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .war extension
basic.ipa	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .ipa extension
basic.apk	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .apk extension
basic.appx	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .appx extension
basic.xpi	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .xpi extension
basic.cbz	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .cbz extension
basic.epub	ZIP	true		d6e881678145cb42246ffa810f79f604b52606b627066bbb108a194ab83e2748	ZIP Deflate fixture under the .epub extension
basic.7z	7Z	true		1ad775eaa8bc4a8f4f8bac8f5fa0a8417bfabd00f4e04545b9480c9fe2815dab	7Z LZMA2 solid fixture created by ZManager
basic.cb7	7Z	true		1ad775eaa8bc4a8f4f8bac8f5fa0a8417bfabd00f4e04545b9480c9fe2815dab	7Z fixture under the .cb7 extension
basic.sevenz	7Z	true		1ad775eaa8bc4a8f4f8bac8f5fa0a8417bfabd00f4e04545b9480c9fe2815dab	7Z fixture under the .sevenz extension
basic.cbr	RAR	true		b1b541ad0e8d2d8a52d64f73bf0526a232d2160f04b92b00c82a8eb3f9ce9d39	RAR5 fixture under the .cbr extension
basic.tar	TAR	true		88a1b6f594d13b0642e539559fa522cb59141f0290441b7fa526374be5072bc4	TAR fixture created by bsdtar
basic.cbt	TAR	true		88a1b6f594d13b0642e539559fa522cb59141f0290441b7fa526374be5072bc4	TAR fixture under the .cbt extension
basic.pax	TAR	true		88a1b6f594d13b0642e539559fa522cb59141f0290441b7fa526374be5072bc4	TAR fixture under the .pax extension
basic.ustar	TAR	true		88a1b6f594d13b0642e539559fa522cb59141f0290441b7fa526374be5072bc4	TAR fixture under the .ustar extension
basic.tar.gz	TAR.GZ	true		a32e6c3413bb3285ac0d0f3cc83578811f2cfbf0d7d05393b8d1630ac1130c32	Tar fixture compressed with gzip
basic.tgz	TAR.GZ	true		a32e6c3413bb3285ac0d0f3cc83578811f2cfbf0d7d05393b8d1630ac1130c32	Tar.GZ fixture under the .tgz extension
basic.tar.bz2	TAR.BZ2	true		446ef3d61121603c2e58615cd0e23cf75d5f79872836a225c94b54770ca1d288	Tar fixture compressed with bzip2
basic.tbz2	TAR.BZ2	true		446ef3d61121603c2e58615cd0e23cf75d5f79872836a225c94b54770ca1d288	Tar.BZ2 fixture under the .tbz2 extension
basic.tbz	TAR.BZ2	true		446ef3d61121603c2e58615cd0e23cf75d5f79872836a225c94b54770ca1d288	Tar.BZ2 fixture under the .tbz extension
basic.tar.xz	TAR.XZ	true		b088448bdcca70fdcb00ee791a1957e6dc9016f36b9313763f8b34532a395c30	Tar fixture compressed with xz
basic.txz	TAR.XZ	true		b088448bdcca70fdcb00ee791a1957e6dc9016f36b9313763f8b34532a395c30	Tar.XZ fixture under the .txz extension
basic.tar.lzma	TAR.LZMA	true		d85bed24e1723264c96faf224134c7224a67eff0bd6afdf9601b606eff1d691e	Tar fixture compressed with legacy LZMA
basic.tlzma	TAR.LZMA	true		d85bed24e1723264c96faf224134c7224a67eff0bd6afdf9601b606eff1d691e	Tar.LZMA fixture under the .tlzma extension
basic.tar.lz	TAR.LZ	true		6b0a8377e8b696b6ec20249174c896a74c2ea546f655e2915c026bb22c84bce4	Tar fixture compressed with lzip
basic.tar.lzo	TAR.LZO	true		1fbee34f774a0dd9b4cf335de31bbc2a03de3fac98dc366d851a8ae7ec090434	Tar fixture compressed with lzop
basic.tar.Z	TAR.Z	true		088d10754f718a3c50d3a3ba4a1d84a08cb38a29a4008b6ff874f126519e7475	Tar fixture compressed with Unix compress
basic-lowercase.tar.z	TAR.Z	true		088d10754f718a3c50d3a3ba4a1d84a08cb38a29a4008b6ff874f126519e7475	Tar.Z fixture under the lowercase .tar.z extension
basic.taz	TAR.Z	true		088d10754f718a3c50d3a3ba4a1d84a08cb38a29a4008b6ff874f126519e7475	Tar.Z fixture under the .taz extension
basic.tar.lz4	TAR.LZ4	true		994fb57d211677622ababfd5ac26913b599dbffdbe1f844a737012e0215a3f87	Tar fixture compressed with LZ4
basic.tar.zst	TAR.ZST	true		d399b8d62b45cdc796e7ac3b9f140b743e18058966ee65849c983a615e2d516d	Tar fixture compressed with zstd
basic.cpio	CPIO	true		4a460acb31928b7b9a8a12651e5a1e095c5054f8ebb50aa53b1d9a9e63bd8fd0	CPIO fixture created by bsdtar
basic.cpio.gz	CPIO	true		776c6f0d058f50c980e55e9725dc5f6bc476fcc4f7c03d1b3ad7a917426ef091	CPIO fixture compressed with gzip
basic.cpgz	CPIO	true		776c6f0d058f50c980e55e9725dc5f6bc476fcc4f7c03d1b3ad7a917426ef091	CPIO fixture compressed with gzip under the .cpgz extension
basic.cpio.bz2	CPIO	true		1ad2ae286a9c4a4d87a98d3baf514c16089816b628dfe69dc347145451bb0d0e	CPIO fixture compressed with bzip2
basic.cpio.xz	CPIO	true		5a0e67b66a3c36bddcc48284fc34d3daf90879e5515d677da7aa9dcc6878e663	CPIO fixture compressed with xz
basic.cpio.lzma	CPIO	true		daac8699f0cd376b26c3445f1ab8467c26880152837cd69d2e15586e79d1242b	CPIO fixture compressed with legacy LZMA
basic.cpio.zst	CPIO	true		0bc87baf25e84fed6c0dbd345b66e0886e4d43e5f54aec6af866e72ade1e8cc3	CPIO fixture compressed with zstd
basic.cab	CAB	true		42662b72c6390b071a6e5494a7bb4b5dd6b3ac73d3afc66d50e261a67147cd02	CAB fixture created by gcab
basic.rar	RAR	true		b1b541ad0e8d2d8a52d64f73bf0526a232d2160f04b92b00c82a8eb3f9ce9d39	RAR5 fixture created by the RAR tool
rar5-links.rar	RAR	true		da2e9400aeba6eddfacf0abe2d3accaf845622f517aeeaef27ce1b1bb3c64ee6	RAR5 fixture with external-tool-authored symlink and hardlink records
basic.lha	LHA	true		cd4e2e35f476251831051c5ccf45a58d8ea80eae82e5317e93047e2b9c3c0fb9	LHA fixture created by jlha-utils in Docker
basic.lzh	LHA	true		cd4e2e35f476251831051c5ccf45a58d8ea80eae82e5317e93047e2b9c3c0fb9	LHA fixture under the .lzh extension
basic.rpm	RPM	true		29a061a5dd41ad6fb84b751df366e7725ca67ca5d79a1ee2324fe6a9b94c049c	RPM package fixture created by rpmbuild
basic.xar	XAR	true		7c39cb58987162c5631c3db5bf2c30cf6c87831dd2da2d048baf1615385b7dfe	XAR fixture created by macOS xar
basic.warc	WARC	true		eed0912a49d11ddee4ecfa7c313f79bc72330430090e0662f662e640f1c8fddf	WARC fixture created by bsdtar
